lr_no|1222.66666666667|388|23|True|220|42
date|1226|445.333333333333|21|True|220|24
consignor|350.717814588783|466.219703574542|24|True|750|36
consignor_addr|95.8825922696887|510.219703574542|21|True|900|30
consignor_gst|724|544.666666666667|21|True|410|30
consignee|354.666666666666|587.333333333333|23|True|750|36
consignee_addr|103.333333333333|631.333333333333|20|True|900|30
consignee_gst|720.666666666667|662.109851787271|22|True|220|30
route|1228.66666666666|521.333333333334|22|True|210|42
route_to|1223.69239664643|600.273489447817|23|True|210|42
vehicle|1214.66666666667|176.666666666667|24|True|220|48
vehicle_type|714|760|17|True|130|66
actual_weight|720.666666666667|897.333333333333|17|True|120|84
charged_weight|852.99161607401|894.393177218849|17|True|120|78
pay_type|1255.76062445794|961.367447239086|17|True|180|24
no_of_pkg|90|760.666666666667|17|True|100|72
package_type|83.3333333333334|897.333333333333|17|True|110|72
size_l|873.333333333333|752.666666666667|14|True|90|24
size_w|877.333333333333|782.666666666667|14|True|90|24
size_h|876|810.666666666667|14|True|90|24
description|214.888696154958|758.239375542064|17|True|450|204
invoice|1242|762|20|True|190|132
value|193.998256320837|1019.33217088056|24|True|230|42
